website,extract_time,total_posts,posts,created_date
www.cvbankas.lt,77.23,1,"[{'post_id': '9525646', 'post_url': 'https://www.cvbankas.lt/finansines-apskaitos-specialiste-as-kaune/1-9525646', 'imag_url': 'https://cvbankas-img.dgn.lt/adlogo_2_21687334/findigo.jpg', 'position': 'Finansinės apskaitos specialistė (as)', 'company': 'Findigo', 'city': 'Kaune', 'salary': [1000, 2500], 'post_date': 'prieš 1 d.', 'upload_post': '2023-01-21 rivalumas.\n\n\nĮmonė siūlo\n\n\nDarbo ir laisvalaikio balansas\nLankstus darbo grafikas\nGalimybė dirbti nuotoliniu būdu\nKolektyvinės atostogos\n\n\nSveikatingumas\nInvesticinį draudimą\nSveikatos ir grožio paslaugos šeimai\n\n\nBiuras\nModernus ofisas\nSkaitmenizuoti dokumentai - finansinė apskaita be popierinių dokumentų.\n\n\nKiti privalumai\nReguliarūs mokymai\n\n\n\n\nAtlyginimas\n\n                                1000-2500                                €/mėn.                                į rankas                                \n\n\n'}]",2023-01-22 18:27:04
www.cvbankas.lt,84.31,1,"[{'post_id': '5648539', 'post_url': 'https://www.cvbankas.lt/saldymo-irengimu-technikas-vilniuje/1-5648539', 'imag_url': 'https://cvbankas-img.dgn.lt/companylogo_2_20145120/genys.jpg', 'position': 'Šaldymo įrengimų technikas', 'company': 'UAB „Genys“', 'city': 'Vilniuje', 'salary': [1200, 1600], 'post_date': 'prieš 1 d.', 'upload_post': '2023-01-21 16:29:57', 'applicants_value': '18', 'post_description_full': '\n\nDarbo pobūdis\nŠaldymo įrangos techninė priežiūra, diagnostika, gedimų šalinimas vykstant pas užsakovus;\r\nYra savaitgaliniai budėjimai slenkančiu grafiku.\n\n\nReikalavimai darbuotojui\nVidurinis ar aukštesnysis išsilavinimas; Gali būti studijuojantis; Elektrotechnikos pagrindai; Vairuotojo pažymėjimas - B kategorija. \r\nPrivalumai:\n\nDarbo patirtis analogiškoje srityje; Rusų kalbos žinios; Kruopštumas, savarankiškumas, iniciatyvumas.\n\n\nĮmonė siūlo\n\nStabilų ir laiku mokamą atlyginimą; Priedus, priklausančius nuo darbo rezultatų; Socialines garantijas; Automobilį; Telefoną; Darbui reikalingą įrangą.\n\n\n\nAtlyginimas\n\n                                1200-1600                                €/mėn.                                į rankas                                \n\n\n'}]",2023-01-22 18:28:33
www.cvbankas.lt,84.43,1,"[{'post_id': '5648539', 'post_url': 'https://www.cvbankas.lt/saldymo-irengimu-technikas-vilniuje/1-5648539', 'imag_url': 'https://cvbankas-img.dgn.lt/companylogo_2_20145120/genys.jpg', 'position': 'Šaldymo įrengimų technikas', 'company': 'UAB „Genys“', 'city': 'Vilniuje', 'salary': [1200, 1600], 'post_date': 'prieš 2 d.', 'upload_post': '2023-01-20 16:31:39', 'applicants_value': '18', 'post_description_full': '\n\nDarbo pobūdis\nŠaldymo įrangos techninė priežiūra, diagnostika, gedimų šalinimas vykstant pas užsakovus;\r\nYra savaitgaliniai budėjimai slenkančiu grafiku.\n\n\nReikalavimai darbuotojui\nVidurinis ar aukštesnysis išsilavinimas; Gali būti studijuojantis; Elektrotechnikos pagrindai; Vairuotojo pažymėjimas - B kategorija. \r\nPrivalumai:\n\nDarbo patirtis analogiškoje srityje; Rusų kalbos žinios; Kruopštumas, savarankiškumas, iniciatyvumas.\n\n\nĮmonė siūlo\n\nStabilų ir laiku mokamą atlyginimą; Priedus, priklausančius nuo darbo rezultatų; Socialines garantijas; Automobilį; Telefoną; Darbui reikalingą įrangą.\n\n\n\nAtlyginimas\n\n                                1200-1600                                €/mėn.                                į rankas                                \n\n\n'}]",2023-01-22 18:30:15
